Timestamp,Actigraph Steps,Bangle Steps
7:00:00,0,0
7:01:00,0,0
7:02:00,0,0
7:03:00,0,0
7:04:00,0,0
7:05:00,0,0
7:06:00,0,0
7:07:00,0,0
7:08:00,0,0
7:09:00,0,0
7:10:00,0,0
7:11:00,0,0
7:12:00,0,0
7:13:00,0,0
7:14:00,0,0
7:15:00,0,0
7:16:00,0,0
7:17:00,0,0
7:18:00,0,0
7:19:00,0,0
7:20:00,0,0
7:21:00,0,0
7:22:00,0,0
7:23:00,8,0
7:24:00,7,0
7:25:00,16,0
7:26:00,7,0
7:27:00,9,0
7:28:00,3,0
7:29:00,14,9
7:30:00,19,5
7:31:00,9,0
7:32:00,13,0
7:33:00,38,5
7:34:00,17,30
7:35:00,1,0
7:36:00,2,0
7:37:00,1,0
7:38:00,2,0
7:39:00,5,0
7:40:00,7,0
7:41:00,1,0
7:42:00,2,0
7:43:00,0,0
7:44:00,0,0
7:45:00,2,0
7:46:00,0,0
7:47:00,13,0
7:48:00,4,0
7:49:00,33,0
7:50:00,2,0
7:51:00,0,0
7:52:00,0,0
7:53:00,0,0
7:54:00,0,0
7:55:00,0,0
7:56:00,4,0
7:57:00,0,0
7:58:00,0,0
7:59:00,5,0
8:00:00,7,0
8:01:00,36,0
8:02:00,109,7
8:03:00,80,0
8:04:00,72,6
8:05:00,28,7
8:06:00,7,0
8:07:00,42,8
8:08:00,19,16
8:09:00,0,0
8:10:00,0,0
8:11:00,0,0
8:12:00,0,0
8:13:00,0,0
8:14:00,0,0
8:15:00,0,0
8:16:00,0,0
8:17:00,0,0
8:18:00,8,0
8:19:00,101,22
8:20:00,115,53
8:21:00,113,42
8:22:00,8,34
8:23:00,7,0
8:24:00,41,0
8:25:00,114,21
8:26:00,113,32
8:27:00,108,33
8:28:00,92,5
8:29:00,64,15
8:30:00,4,12
8:31:00,28,0
8:32:00,1,6
8:33:00,0,0
8:34:00,4,0
8:35:00,0,0
8:36:00,0,0
8:37:00,0,0
8:38:00,0,0
8:39:00,0,0
8:40:00,0,0
8:41:00,0,0
8:42:00,0,0
8:43:00,0,0
8:44:00,0,0
8:45:00,0,0
8:46:00,0,0
8:47:00,0,0
8:48:00,1,0
8:49:00,0,0
8:50:00,0,0
8:51:00,0,0
8:52:00,0,0
8:53:00,0,0
8:54:00,0,0
8:55:00,0,0
8:56:00,0,0
8:57:00,0,0
8:58:00,0,0
8:59:00,0,0
9:00:00,0,0
9:01:00,0,0
9:02:00,0,0
9:03:00,0,0
9:04:00,0,0
9:05:00,0,0
9:06:00,0,0
9:07:00,0,0
9:08:00,0,0
9:09:00,0,0
9:10:00,0,0
9:11:00,0,0
9:12:00,0,0
9:13:00,0,0
9:14:00,0,0
9:15:00,0,0
9:16:00,0,0
9:17:00,0,0
9:18:00,0,0
9:19:00,0,0
9:20:00,1,0
9:21:00,0,0
9:22:00,0,0
9:23:00,1,0
9:24:00,0,0
9:25:00,0,0
9:26:00,1,0
